BIBTEXKEY,AUTHOR,YEAR
mahootian_persian_2002,"Mahootian, Shahrzad",2002
malik_lexical_2010,"Malik, Tahir Ghafoor",2010
mambwe_linguistic_2008,"Mambwe, Kelvin",2008
mangulu_parler_2003,"Mangulu, M",2003
mann_czech_1977,"Mann, Stuart Edward",1977
mann_short_nodate,"Mann, Stuart E",
mann_vocabulary_1966,"Mann, W.M.",1966
manwati_basic_nodate,"Manwati, J L",
maples_collections_1879,"Maples, Chauncy",1879
marck_kin_2010,"Marck, Jeff and Hage, Per and Bostoen, Koen and Muzenga, Jean-Georges Kamba",2010
marino_galician_2018,"Mari{\\textasciitilde n}o, In{\'e}s",2018
markotic_kinship_1968,"Markotic, Vladimir",1968
marlo_lubukusuenglish_2007,"Marlo, Michael and Sifuna, Adrian and Wasike, Aggrey",2007
marquez_terrazas_diccionario_1999,"Marquez Terrazas, Zacar{\'i}as",1999
masele_linguistic_2001,"Masele, Balla",2001
mayer_histoire_2002,"Mayer, Raymond",2002
mbadu_kumbu_du_2012,"Mbadu Kumbu, Pamphile",2012
mcculloch_people_1954,"McCulloch, M. and Littlewood, M. and Dugast, I.",1954
mcculloch_southern_1951,"McCulloch, Merran",1951
mcknight_problems_1971,"McKnight, David",1971
mead_social_1930,"Mead, Margaret",1930
melville_wapishana_2015,"Melville, Colette and Tracy, Frances V. and Williams, Olive and Key, Mary Ritchie",2015
meniku_discovering_2011,"M{\""e}niku, Linda and Campos, H{\'e}ctor",2011
Mentore_1987,"Mentore, George P.",1987
menz_orientinstitut_2013,"Menz, Astrid",2013
mertens_dictionnaire_1939,"Mertens, Joseph",1939
mesthrie_linguistic_1990,"Mesthrie, Rajend",1990
metraux_ethnology_1940,"M{\'e}traux, Alfred",1940
miller_old_2015,"Miller, Vincent and {Infante-Wong}, Mackayla",2015
miller_toba_1966,"Miller, Elmer S.",1966
miran_naming_1975,"Miran, M. Alam",1975
misra_social_1987,"Misra, Kamal Kant",1987
missionEnglishLonkundoLonkundoEnglishVocabulary1913,"Mission, Congo",1913
mistrik_grammar_1983,"Mistr{\'i}k, Jozef",1983
monberg_bellona_1991,"Monberg, Torben",1991
monodbecquelin_trumai_2015,"{Monod-Becquelin}, Aurore and Key, Mary Ritchie",2015
moore_colorado_2015,"Moore, Bruce R. and Key, Mary Ritchie",2015
moorfield_te_2005,"Moorfield, John Cornelius",2005
morrison_grammar_nodate,"Morrison, W. M.",[c1906]
morse_diccionario_1999,"Morse, Nancy L. and Salser Jr., Jay K and {de Salser}, Neva",1999
moser_seri_2015,"Moser, Mary B. and Marlett, Stephen A. and Key, Mary Ritchie and {Summer Institute of Linguistics}, University of North Dakota",2015
mufwene_prototype_1980,"Mufwene, Salikoko S.",1980
mukherjee_malapandaram_1954,"Mukherjee, Bhabananda",1954
muldagaliyeva_sociocultural_2015,"Muldagaliyeva, A.A and Gumarova, Sh. B. and Issabayeva, B.K and Zhirenshina, K. A.",2015
muluwa_immediate_2014,"Muluwa, J.K. and Bosteon, Koen",2014
muluwa_lexique_2015,"Muluwa, J.K. and Bosteon, Koen",2015
muluwa_recueil_2007,"Muluwa, Joseph Koni and Bostoen, Koen",2007
munzadi_territoire_1970,"Munzadi, Ernest",1970
murphy_matrilocality_1956,"Murphy, Robert F.",1956
mwalonya_mgombato_2006,"Mwalonya, Joseph and Nicolle, Alison and Nicolle, Steve and Zimbu, Juma",2006
najlis_selknam_2015,"Najlis, Elena L. and Key, Mary Ritchie",2015
nakagawa_classified_1992,"Nakagawa, H",1992
nanda_dhakal_nepalese_2018,"Nanda Dhakal, Dubi",2018
naroll_german_1958,"Naroll, Word",1958
nchare_grammar_2012,"Nchare, Abdoulaye Laziz",2012
ndolo_vocabulaire_1972,"Ndolo, P and Malasi, F",1972
neto_dadivas_nodate,"Neto, Jo{\\textasciitilde a}o Dal Poz",
newmark_albanian_2015,"Newmark, Leonard and Key, Mary Ritchie",2015
newmark_structural_1957,"Newmark, Leonard",1957
nguyen_englishvietnamese_1979,"Nguy{\^e}n, V{\u a}n Kh{\^o}n",1979
noauthor_austkin_nodate,"Bowern, Claire",
noauthor_dari_nodate,,
noauthor_dictionary_nodate,,
noauthor_family_nodate,,
noauthor_full_nodate,"Gifford, Edward Winslow",1917
noauthor_german_nodate,,
noauthor_grammar_nodate,,
noauthor_grundriss_nodate,,
noauthor_handbook_nodate,,
noauthor_internet_nodate,,
noauthor_ket_nodate,,
noauthor_komo_nodate,,
noauthor_kwasi_nodate,,
noauthor_lahnda_nodate,,
noauthor_latvia_nodate,,
noauthor_les_nodate,,
noauthor_nomads_nodate,,
noauthor_noticia_nodate,,
noauthor_osjazfolk_1949,,1949
noauthor_OssetianRussian_2004,,
noauthor_outline_nodate,,
noauthor_paliyan_nodate,,
noauthor_pdf_nodate,,
noauthor_problems_1987,,1987
noauthor_salvage_nodate,"Gargett, Andrew",
noauthor_surui_nodate,,
noauthor_terminologia_nodate,,
noauthor_tigrinya_nodate,,
noauthor_topical_nodate,,
noauthor_vocabulario_2010,,2010
noauthor_wayback_2007,"Elzinga, D",2004
noauthor_worterbucher_2010,"Linden, P",2010
noauthor_yamitao_nodate,,
NomadsLongBow,,
nurse_diachronic_1988,"Nurse, Derek",1988
nurse_sonjo_1991,"Nurse, Derek and Rottland, Franz",1991
oconnell_residence_1836,"O'Connell, James F.",1836
odden_kikerewe_2005,"Odden, David",2005
ogawa_comparative_2006,"Ogawa, Naoyoshi and Li, Rengui and Toyoshima, Masayuki",2006
oliveira_parentesco_1970,"de Oliveira, Ad{\'e}lia Engr{\'a}cia",1970
oliver_ancient_1975,"Oliver, Douglas L.",1975
olson_chipaya_2015,"Olson, Frances and Olson, Ronald D. and Key, Mary Ritchie",2015
openlearncreate_lunda_nodate,{OpenLearnCreate},
opler_kinship_1936,"Opler, Morris E.",1936
opler_summary_1936,"Opler, Morris Edward",1936
orel_concise_2000,"Orel, Vladimir {\.E}",2000
osborne_degrees_1870,"Osborne, John",1870
pairumani_aymara_2015,"Pairumani, F{\'e}lix Layme and Key, Mary Ritchie",2015
pajusalu_esto1258_2020,"Pajusalu, Karl",2020
pandharipande_marathi_1997,"Pandharipande, Rajeshwari",1997
parkin_sacred_1991,"Parkin, David",1991
parkin_contemporary_1995,"Parkin, Robert",1995
pashkievish_fundamental_1974,"Pashkievish, V",1974
passmore_english_2018,"Passmore, Sam",2018
patz_grammar_2002,"Patz, Elisabeth",2002
pawley_milne_nodate,"Cappell, Arthur",
peatrik_vie_1999,"Peatrik, Anne-Marie",1999
peeke_waorani_2015,"Peeke, M. Catherine and Key, Mary Ritchie",2015
peggion_forma_1996,"Peggion, Edmundo Antonio",1996
pehrson_social_1966,"Pehrson, Robert Niel",1966
peiros_iduh_2015,"Peiros, Ilya",2015
peiros_prai_2015,"Peiros, Ilya",2015
peiros_pusing_2015,"Peiros, Ilya",2015
peiros_zhuanglongzhou_2015,"Peiros, Ilya",2015
pendefrancais_comparativebantu_1972,"Dictionary, Comparative Bantu Online",1972
pennington_arte_1984,"Pennington, Campbell W. (eds.) and Lombardo, Natal",1984
perry_persian_2015,"Perry, John R. and Key, Mary Ritchie and Paper, Herbert H.",2015
perry_tajik_2005,"Perry, John R.",2005
perry_western_1972,"Perry, Edgar",1972
pet_grammar_2011,"Pet, William J. A.",2011
pieris_139_1964,"Pieris, Ralph",1964
pinson_kinship_1979,"Pinson, Ann",1979
piron_elements_1990,"Piron, P.",1990
pocock_kanbi_1972,"Pocock, David Francis",1972
poewe_matrilineal_1981,"Poewe, Karla O.",1981
pomozi_hungarian_2015,"Pomozi, P{\'e}ter and Volmre, Sirje and Audova, Iris",2015
Pospisil_Laughlin_1963,"Pospisil, Leopold and Laughlin, William S.",1963
pratt_grammar_1893,"Pratt, George",1893
press_ukrainian_2015-1,"Press, Ian and Pugh, Stefan",2015
price_panare_2015,"Price, Jana and Key, Mary Ritchie",2015
proudfoot_modern_1997,"Proudfoot, Anna.",1997
raczHung1274TermsCollected2020,"R{\'a}cz, Peter",2020
rafel_catalan_2015,"Rafel, Joan and Key, Mary Ritchie and {speaker}, Native",2015
ramirez_o_2017,"Ramirez, Henri and Vegini, Valdir and de Fran{\c c}a, Maria Cristina Victorino",2017
ranjan_patriarchalic_2003-1,"Ranjan, Rasa",2003
ranquel_mapudungun_2015,"Ranquel, Ana V. Fern{\'a}ndez Garay and Catrileo, Mar{\'i}a and Key, Mary Ritchie",2015
rapondawalker_dictionnaire_1934,"{Raponda-Walker}, Andr{\'e} and Tardy, Louis",1934
rapondawalker_elements_1996,"{Raponda-Walker}, Andr{\'e}",1996
rastorgueva_short_1963,"Rastorgueva, V. S.",1963
read_cognition_2007,"Read, Dwight and Bennardo, Giovanni",2007
real_academia_gallega_la_coruna_spain_diccionario_1990,"Real Academia Gallega (La Coru{\\textasciitilde n}a, Spain), Xos{\'e} Bieito. and Freixedo, Arias",
redmayne_wahehe_1964,"Redmayne, A.H.",1964
remacle_dictionnairewallonfrancais_1839,"Remacle, L.",1839
researchinstituteRusskoMariyskiySlovar1966,"{research institute}, Soviet Mari",1966
richard_histoire_1970,"Richard, Madeleine",1970
richards_lengua_2015,"Richards, Elizabeth and Curtis, Timothy and Key, Mary Ritchie",2015
richards_waura_2015,"Richards, Joan and Key, Mary Ritchie",2015
richardson_puinave_2015,"Richardson, Larry A. and Key, Mary Ritchie",2015
ridington_kin_1969,"Ridington, Robin",1969
rigby_cattle_1969,"Rigby, Peter",1969
rodegem_dictionnaire_1970,"Rodegem, Firmin M",1970
rodman_yuwana_2015,"Rodman, David and Rodman, Sue and Key, Mary Ritchie and field {notes}, Rodmans'",2015
roessler_unreleased_2017,"Roessler, Eva-Maria",2017
rojas_embera_2015,"Rojas, Mauricio Pardo and Key, Mary Ritchie",2015
roscoe_bagesu_1924,"Roscoe, John",1924
roy_birhors_1925,"Roy, Rai Bahadur Sarat Chandra",1925
rubanza_luzinza_2008,"Rubanza, Y.I.",2008
rubattu_dizionario_2001,"Rubattu, Antoninu",2001
rushforth_bear_1984,"Rushforth, Scott",1984
ryali_semantic_1971,"Ryali, Rajagopal",1971
rydving_words_2013,"Rydving, H{\aa}kan",2013
saarIngr2148TermsCollected2020,"Saar, Eva",2020
sabino_negerhollands_2015,"Sabino, Robin and Stevens, Mrs. Alice",2015
Schoonekamp_2008,"Schoonekamp, Harmen",2008
Schoonekamp_2008_frisian,"Schoonekamp, Harmen",2008
Schoonekamp_2008_slovenian,"Schoonekamp, Harmen",2008
sahu_birhor_1995,"Sahu, Chaturbhuj",1995
sakayan_armenian_2015,"Sakayan, Dora and Khatchatrian, Amalia",2015
sakayan_armenian_2015-1,"Sakayan, Dora and Khatchatrian, Amalia",2015
sammons_sanapana_2015,"Sammons, Ruth and Key, Mary Ritchie",2015
sangol_lethique_1983,"Sangol, Bongo-Pasi Moke",1983
santander_kunza_2015,"Santander, Roberto Lehnert and Key, Mary Ritchie",2015
satre_ngombafrenchenglish_2003,"Satre, Scott",2003
saxena_bengali_2015,"Saxena, Anju and Pimpalkhare, Mohini",2015
saxena_mahasu_2015,"Saxena, Anju and Karlander, David",2015
saxena_marathi_2015,"Saxena, Anju and Pimpalkhare, Mohini",2015
saxena_nepali_2015,"Saxena, Anju",2015
saxena_punjabi_2015,"Saxena, Anju and Pimpalkhare, Mohini",2015
saxena_tamil_2015,"Saxena, Anju and Hashim, Mohamed",2015
saxena_telugu_2015-1,"Saxena, Anju and Karlander, David and Rama, K. Taraka",2015
saxon_tlicho_1996,"Saxon, Leslie Adele and Siemens, Mary and {Dogrib Divisional Board of Education}",1996
scatton_reference_1984,"Scatton, Ernest A.",1984
schapera_tswana_1953,"Schapera, I.",1953
scheffler_australian_1978,"Scheffler, Harold W.",1978
scherer_ha_1959,"Scherer, J. H.",1959
schmalstieg_old_2015,"Schmalstieg, William R.",2015
schuhmacher_danish_2015,"Schuhmacher, W. W. and Key, Mary Ritchie",2015
schultz_kom_1997,"Schultz, George",1997
schwarzschild_controlled_1969-1,"Schwarzschild, L A (Luise Anna)",1969
schwimmer_hawaiian_2001,"Schwimmer, Brian",2001
sebastian_yine_2008,"Sebasti{\'a}n, Rittma Urqu{\'i}a and Marlett, Stephen A.",2008
seelwische_nivacle_2015,"Seelwische, Jos{\'e} and Stell, N{\'e}lida N. and Key, Mary Ritchie",2015
sewellMalagasyDictionaryMadagascar,"Sewell, Joseph",
shafeev_short_1964,"Shafeev, D. A.",1964
shanor_pashto_nodate,"Shanor, S",
shashi_encyclopaedia_1994,"Shashi, Shyam Singh",1994
siertsema_masaba_1981,"Siertsema, Berthe",1981
silva_cativando_2009,"da Silva, Cristhian Te{\'o}filo",2009
sinha_kinship_2012,"Sinha, Prajadhip and Sarma, Bairab and Shyam Purkayastha, Bipul",2012
slocum_diccionario_1999,"Slocum, Marianna C",1999
smirnov_lahndi_1975,"Smirnov, Y. A",1975
smith_economy_1955,"Smith, M. G and {Colonial Social Science Research Council (Great Britain)} and Human Relations Area Files, inc",1955
sosne_kinship_1974,"Sosne, Elinor Dee",1974
south_slave_divisional_education_council_dene_2009,"Council, South Slave Divisional Education",2009
soviet_mari_research_institute__1966,{Soviet Mari research institute},1966
snyman_introduction_1969,"Snyman, J. W.",1969
spooner_iranian_1966,"Spooner, Brian",1966
srinagarashram_dictionary_nodate,{SrinagarAshram},
srinivas_religion_1952,"Srinivas, Mysore Narasimhachar",1952
stankovic_russian_1998,,
stein_structural_1975,"Stein, Howard F.",1975
steward_culture_1942,"Steward, Julian H.",1942
stirrat_dravidian_1977,"Stirrat, R.L.",1977
stockle_mungaka_1992,"St{\""o}ckle, Johannes",1992
stubbs_uto-aztecan_2011,"Stubbs, Brian D",2011
sugiura_kinship_1962,"Sugiura, Kenichi and Befu, Harumi",1962
suvcane_latvianlivonianenglish_nodate,"{\v S}uvc{\=a}ne, V.",1999
swain_ninam_2015,"Swain, Carole and Key, Mary Ritchie",2015
swartz_bilingual_1968,"Swartz, Marc J.",1968
tambiah_kinship_1965,"Tambiah, S. J.",1965
tanner_social_2007,"Tanner, Ralph E. S.",2007
taylor_giryama_1891,"Taylor, W.E.",1891
taylor_nominal_1976,"Taylor, Douglas",1976
taylor_western_1969,"Taylor, Brian",1969
tea_district_labour_association_tea_1926,{Tea District Labour association},1926
teboh_women_2002,"Teboh, Bridget Angum",2002
tej_punjabi_1993,"Tej, Bhatia",1993
temir_bashkir_1966,"Temir, Ahmed and Poppe, Nicholas",1966
teo_phonological_nodate,"Teo, Amos",
terrill_biri_1998,"Terrill, Angela",1998
terrill_dharumbal_2002,"Terrill, Angela",2002
tessmann_pangwe_1913,"Tessmann, G{\""u}nter",1913
tew_people_1950,"Tew, Mary",1950
thomas_komo_2014,"Thomas, John Paul",2014
thomascolquhoun_russian_2018,"{Thomas-Colquhoun}, Ewan",2018
thompson_personal_2017,"Thompson, Warren",2017
thompson_southern_1940-1,"Thompson, Laura",1940
thorne_comprehensive_1993,"Thorne, David A.",1993
tisdall_simplified_1892,"Tisdall, W. S.",1892
torday_notes_1905,"Torday, E. and Joyce, T. A.",1905
torday_notes_1906,"Torday, E. and Joyce, T. A.",1906
torday_notes_1910,"Torday, E and Joyce, T",1910
tribus_pacaas_2015,"Tribus, Misi{\'o}n Nuevas and Key, Mary Ritchie",2015
tsereteli_influence_1970,"Tsereteli, George V.",1970
tsunoda_djaru_1981,"Tsunoda, Tasaku",1981
tsunoda_grammar_2011,"Tsunoda, Tasaku",2011
tsutsumi_japanese_2018,"Tsutsumi, Kumiko",2018
turkin_komi_2015,"Turkin, Adolf and Klesment, Piret",2015
turnball_wayward_nodate,"Turnball, Colin",
turner_comparative_1931,"Turner, Ralph Lilley",1931
university_of_michigan_vocabulary_1908,,1908
unruh_sanapana_2015,"Unruh, Ernesto and Kalisch, Hannes and Key, Mary Ritchie",2015
urrutia_western_2018,"Urrutia, Usue Aliende",2018
ushkevich_byelorussianenglish_1992,"Ushkevich, Alexander and Zezulin, Alexandra",1992
Vajda_Nefedov_2009,"Vajda, Edward and Nefedov, Andrey",2009
vallejos_diccionario_nodate,"Vallejos, Rosa",
van_der_kerken_baluba_1936,"{Van der Kerken}, M.",1936
van_geluwe_les_1957,"Van Geluwe, H",1957
van_luong_vietnamese_1989,"Van Luong, Hy",1989
varma_kurumba_1978,"Varma, G. Srinivasa",1978
vatasescu_termes_1997,"Vatasescu, Catalina",1997
vatuk_gifts_1975,"Vatuk, Sylvia",1975
vatuk_structural_1969,"Vatuk, Sylvia",1969
verhovtcev__nodate,"Verhovtcev, Dmitry",
vincke_systematique_1961,"Vincke, Jacques L.",1961
VocabularyIgorotLanguage1908,,1908
volkel_tonganenglish_2016,"V{\""o}lkel, Svenja",2016
wafer_handbook_2008,"Wafer, James William and Wafer, Jim and Lissarrague, Amanda and Harkins, Jean",2008
wagley_tupiguarani_1946,"Wagley, Charles and Galv{\\textasciitilde a}o, Eduardo",1946
wali_kashmiri_1997,"Wali, Kashi and Koul, Omkar Nath and Kaula, Omak{\=a}ra Aina",1997
walker_toda_1986,"Walker, Anthony R.",1986
walker_zuni_2015,"Walker, Willard and Audova, Iris and Klesment, Piret and 1992, Lynn Nichols",2015
wall_navajoenglish_1958,"Wall, Leon",1958
wallace_meaning_1960,"Wallace, Anthony F. C. and Atkins, John",1960
warnier_precolonial_1975,"Warnier, JEAN-PIERRE",1975
weeks_hittite_1985,"Weeks, David Michael",1985
weiss_kayabi_nodate,"Weiss, Helga Elisabeth",
weissleder_nomadic_2011,"Weissleder, Wolfgang",2011
wentzel_venda_1982,"Wentzel, P. J. and Muloiwa, T. W.",1982
westvik_old_2015,"Westvik, Olaf Jansen and {Infante-Wong}, Mackayla",2015
wheeler_catalan_2002-1,"Wheeler, Max and Yates, Alan and Dols, Nicolau",2002
white_egocentric_2010,"White, Douglas R and White, Douglas",2010
whiteley_kinship_1959,"Whiteley, W. H.",1959
wiebe_cayapa_2015,"Wiebe, Neil and Wiebe, Ruth and Key, Mary Ritchie and A{\\textasciitilde n}apa, Ra{\'u}l and A{\\textasciitilde n}apa, Santiago",2015
wielenga_vergelijkende_1917,"Wielenga, D. K.",1917
wilbert_aspectos_1959,"Wilbert, Johannes",1959
willett_diccionario_2016,"WIllett, Thomas L.",2016
william_dictionary_1865,"William, Rev Robert",1865
williams_grammar_1980,"Williams, Corinne J.",1980
williamson_dictionary_1972,"Williamson, Kay",1972
williamson_gondi_1889,"Williamson, Henry Drummond",
willis_fipa_1966,"Willis, Roy",1966
wilson_comparative_1849,"Wilson, John Leighton",1849
wilson_grammar_1898,"Wilson, J",1898
windfuhr_iranian_2009,,2009
winfield_grammar_1928,"Winfield, Walter Warren",1928
wounglymassaga_dialecte_1971,"{Woungly-Massaga}, M.",1971
wright_kaonde_1958,"Wright, J",1958
yadav_reference_2011,"Yadav, Ramawatar",2011
yalcinheckmann_tribe_1991,"{Yal{\c c}{\i}n-Heckmann}, Lale",1991
yallop_alyawarra_1977,"Yallop, Colin",1977
yalman_structure_1962,"Yalman, Nur",1962
yukawa_classified_1992,"Yukawa, Yasutoshi",1992
zagoskin_wordlists_nodate,"Zagoskin, Laurence",
zaitseva_novyi_2007,"Za{\u \i}tseva, N. G. and Mullonen, M. I.",2007
zubiri_goajiro_2015,"Zubiri, Jes{\'u}s Olza and (commentary), Jos{\'e} Alvarez and Jusay{\'u}, Miguel Angel and Key, Mary Ritchie",2015
KtS,"kielten keskus \\& Kielikone Oy, Kotimaisten",2022
bloodSemen,"Cook, Edwin A.",1980
shaw1974kinship,"Shaw, Robert Daniel",1974
hoenigman2015talk,"Hoenigman, Darja and others",2015
westrum1982berik,"Westrum, P",1982
goddard1999bernard,"Goddard, Michael",1999
obata2003grammar,"Obata, Kazuko and others",2003
wagner1967curse,"Wagner, R. and of Chicago, University",1967
universitas1986irian,"Anthropology, Universitas Cenderawasih. Lembaga",1986
Kim1993_EdopiKinship,"Green, Ivor",1986
https://doi.org/10.1002/j.1834-4461.1960.tb00220.x,"Pospisil, Leopold",1960
50152,"Rule, Murray",1993
glasse1962cognatic,"Glasse, Robert M",1962
GlickGimi,"Glick, Leonard B.",1967
bateman1982iau,"Bateman, Janet",1982
erickson1976isirawa,"Erickson, Carol J",1976
berndt1954kamano,"Berndt, Ronald M",1954
dommel1997kaure,"Dommel, Peter Barbarossa",1997
wildenKemtuk,"van der Wilden, Jelly",1976
simsKetengban,"Sims, Andrew",1986
franklinKewa,"Franklin, Karl J.",1965
de1987kombai,"De Vries, Lourens",1987
reay1957kuma,"Reay, Marie",1957
peckhamMairasi,"Peckham, Lloyd",1983
olssonMarind,"Olsson, Bruno",
SchebestaDagoi,"Schebesta, Joseph",1940
gravelleMeah,"Gravelle, Gilles",1992
10.2307/40459830,"Schebesta, Joseph",1940
honeyManMomu,"Honeyman, Tom",
holtker1964sprache,"H{\""o}ltker, Georg",1964
ogan1966nasioi,"Ogan, Eugene",1966
nash1974matriliny,"Nash, Jill and others",1974
may1981nimboran,"May, Kevin R",1981
schoorl1957kultuur,"Schoorl, Johan Willem",1957
wegener2013savosavo,"Wegener, Claudia",2013
sarvasy2014grammar,"Sarvasy, Hannah Sacha",2014
ernst1987onabasulu,"Ernst, Thomas Mitchell",1987
mills1986Sawi,"Mills, A. John",1986
onishi2011Motuna,"Onishi, Masayuki",2011
collier1983Tabla,"Collier, Kenneth J.",1983
kulick2019grammar,"Kulick, Don and Terrill, Angela",2019
healey1962Telefol,"Healey, Alan",1962
van2000tidore,"Van Staden, Miriam",2000
scheffler1972baniata,"Scheffler, Harold W",1972
wormsley1978imbonggu,"Wormsley, William Edward",1978
foley1997watam,"Foley, WA",1997
eibl1989kommunikation,"Eibl-Eibesfeldt, Iren{\""a}us and Schiefenh{\""o}vel, Wulf and Heeschen, Volker",1989
jones1993Yawa,"Jones, Linda K.",1993
heeschen1983worterbuch,"Heeschen, Volker and Schiefenh{\""o}vel, Wulf",1983
Juillerat1996,"Juillerat, Bernard",1996
Holton2017,"Holton, Gary",2017
el-khaissi_2020,"El-Khaissi, Charbel",2020
evans-nebni-2016,"Evans, Nicholas and Nébni, Jimmy",2016
visser-2017,"Visser, Eline and Yorre, Naim",2017
evans-2016,"Evans, Nicholas",2016
rumsey-2016,"Rumsey, Alan",2016
vanTongeren-2016,"van Tongeren, Charlotte",2016
quinn-2016,"Quinn, Kyla",2016
Gregor-2016,"Gregor, Tina",2016
Siegel-2016,"Siegel, Jeff",2016
Daniels2015,"Daniels, Don",2015
Holle1980v2,"Holle, Karel Frederik",1980
Baird2008,"Baird, Louise",2008
Nevermann1939,"Nevermann, Hans",1939
Morgan1871,"Morgan, Lewis Henry",1871
dickson2015,"Dickson, Greg",2015
Barth2017,"Barth, Danielle",2017
Schnell2017,"Schnell, Stefan",2017
BarthW2017,"Barth, Wolfgang",2017
Evans2016,"Evans, Nicholas",2016
Ennever2018,"Ennever, Thomas",2018
Tshering2013,"Tshering, Karma",2013
Jackson1983,"Jackson, Jean E.",1983
Everett2012,"Everett, Daniel L.",2012
Tsukamoto1988,"Tsukamoto, Akihisa",1988
Williams1936,"Williams, Francis Edgar",1936
Healey2013,"Healey, David Stephen",2013
Early1994,"Early, Robert",1994
Lacrampe2009,"Lacrampe, Sébastien",2009
Ludvigson1989,"Ludvigson, Tomas",1989
Capell1962,"Capell, Arthur",1962
layard1942,"Layard, J.",1942
Nese2006,"Crowley, Terry",2006
Dimock2009,"Dimock, Laura Gail",2009
bininjkunwokorg,,
Yu2007,"Yu, Defen",2007
Himmelmann2001,"Himmelmann, Nikolaus P.",2001
Mead1999,"Mead, David E.",1999
Jones1998,"Jones, Alan A.",1998
Deacon1934,"Deacon, Bernard A.",1934
Palmer2000,"Palmer, Blair",2000
Kroeber1919,"Kroeber, A. L.",1919
Franklin1971,"Franklin, Karl J.",1971
Geerts1970,"Geerts, P.",1970
SalasReyes1968,"Salas Reyes, Vicente",1968
Barbian1977,"Barbian, Karl-Josef",1977
Elkins1984,"Elkins, Richard E. and Hendrichson, Gail R.",1984
Laycock2003,"Laycock, Donald C.",2003
Lichtenberk2008,"Lichtenberk, Frantisek",2008
Bowern2012,"Bowern, Claire L.",2012
Dol1999,"Dol, Philomena Hedwig",1999
Sommer2006,"Sommer, Bruce",2006
Robinson2011,"Robinson, Laura C.",2011
Moyle2011,"Moyle, Richard",2011
PawleyBulmer2011,"Pawley, Andrew and Bulmer, Ralph",2011
Stebbins2011,"Stebbins, Tonya N.",2011
McGregor2011,"McGregor, William",2011
Chung2005,"Chung, Ying Shing Anthony",2005
Burenhult2005,"Burenhult, Niclas",2005
BaxterdeSilva2004,"Baxter, Alan N. and de Silva, Patrick",2004
Hildebrandt2004,"Hildebrandt, Kristine A.",2004
KiteWurm2004,"Kite, Suzanne and Wurm, Stephen",2004
Blake2003,"Blake, Barry",2003
Breen2007,"Breen, Gavan and Blake, Barry",2007
Jones2011,"Jones, Barbara",2011
Kelly2004,"Kelly, Barbara",2004
Donohue2004,"Donohue, Mark and San Roque, Lila",2004
Blust2003,"Blust, Robert",2003
Blake2003Bunganditj,"Blake, Barry",2003
Dutton2003,"Dutton, Tom",2003
Draper2002,"Draper, Norm and Draper, Sheila",2002
Ross1996,,1996
Francois2002,"François, Alexandre",2002
Harvey2001,"Harvey, Mark",2001
LynchTepahae2001,"Lynch, John and Tepahae, Philip",2001
Crowley2000,"Crowley, Terry",2000
Caughley2000,"Caughley, Ross C.",2000
Crowley1999,"Crowley, Terry",1999
Blake1998,"Blake, Barry J., Ian Clark and Krishna-Pillay, Sharnthi H.",1998
Luo1999,"Luo, Yongxian",1999
Nordlinger1998,"Nordlinger, Rachel",1998
Sharpe1998,"Sharpe, Margaret C.",1998
Thieberger2004,"Thieberger, Nicholas",2004
Hirtzel2010,"Hirtzel, Vincent",2010
Shnukal1988,"Shnukal, Anna",1988
Choi2015,"Choi, Yun Jung Hannah",2015
Blust1977Sketches,"Blust, Robert A.",1977
Chinnery1930,"Chinnery, E. W. P.",1930
Gargett2011,"Gargett, Andrew",2011
Pensalfini2011,"Pensalfini, Rob",2011
Dixon1983,"Dixon, R. M. W.",1983
Dehu1967,"Tryon, D. T.",1967
Grace1976,"Grace, George William",1976
Parker1970,"Parker, G.J.",1970
Fox1974,"Fox, Charles Elliot",1974
Keesing1975,"Keesing, Roger M.",1975
Headland1974,"Headland, Thomas N. and Healey, Alan",1974
deVries2004,"de Vries, Lourens J.",2004
Eades2005,"Eades, Domenyk",2005
GoodenoughSugita1990,"Goodenough, W. H. and Sugita, H.",1990
Fischer1968,"Fischer, Hans",1968
Levinson1970,"Levinson, Stephen C.",2006
Hercus1994,"Hercus, Luise A.",1994
Grammati,"Headland, Thomas N. and Healey, Alan",1974
Elbert1974,"Elbert, Samuel H.",1974
Beaumont1979,"Beaumont, Clive. H",1979
Grace1975,"Grace, George William",1975
Breen2004,"Breen, Gavan",2004
Marck1996,"Marck, Jeff",1996
Tryon1976,"Tryon, Darrell T.",1976
Ray1907,"Ray, Sidney H.",1907
McKnight1999,"McKnight, David",1999
Lynch1977,"Lynch, John",1977
Ranby1980,"Ranby, Peter",1980
Morris1984,"Morris, Cliff",1984
Lindstrom1986,"Lindstrom, Lamont",1986
White1988,"White, Geoffrey M. and Kokhonigita, Francis and Pulomana, Hugo",1988
Hamel1994,"Hamel, Patricia J.",1994
Landtman1927,"Landtman, Gunnar",1927
Drabbe1950,"Drabbe, Peter",1950
Hogan1988UrakLawo,"Hogan, David W. and Pattemore, Stephen W.",1988
Crowley1992,"Crowley, Terry",1992
BuseTaringa1996,"Buse, Jasper and Taringa, Raututi",1996
CapellLayard1980,"Capell, Arthur and Layard, J.",1980
Schulte1981,"Schulte Nordholt, R. G.",1981
Lincoln1976,"Lincoln, Peter Craig",1976
Dempwolff1909,"Dempwolff, Otto",1909
